0;SMART_SCRIPT_TYPE_CREATURE
1;SMART_SCRIPT_TYPE_GAMEOBJECT
2;SMART_SCRIPT_TYPE_AREATRIGGER 
3;X SMART_SCRIPT_TYPE_EVENT (NOT Implemented)
4;X SMART_SCRIPT_TYPE_GOSSIP (NOT Implemented)
5;X SMART_SCRIPT_TYPE_QUEST (NOT Implemented)
6;X SMART_SCRIPT_TYPE_SPELL (NOT Implemented)
7;X SMART_SCRIPT_TYPE_TRANSPORT (NOT Implemented)
8;X SMART_SCRIPT_TYPE_INSTANCE (NOT Implemented)
9;SMART_SCRIPT_TYPE_TIMED_ACTIONLIST 
10;X SMART_SCRIPT_TYPE_SCENE (RESERVED master branch)
11;X SMART_SCRIPT_TYPE_AREATRIGGER_ENTITY (RESERVED master branch)
12;X SMART_SCRIPT_TYPE_AREATRIGGER_ENTITY_SERVERSIDE (RESERVED master branch)
